STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Population,Density,Total_IPC_per_100k,Murder_per_100k
DELHI UT,South West,2012,47,48,6,87,0,87,399,244,155,0,1,47,211,1171,800,371,6,27,189,3,6,131,18,69,21,207,0,4,1387,4085,2292958,5446,178.15,2.05
DELHI UT,West,2012,52,37,10,79,0,79,454,256,198,2,4,52,186,2352,1733,619,5,36,202,2,18,227,18,53,6,327,0,292,1144,5558,2543243,19563,218.54,2.04
Delhi UT,Central,2013,20,35,5,71,0,71,220,113,107,1,0,55,121,1928,948,980,4,45,323,0,5,122,2,174,28,50,0,79,1274,4562,582320,27730,783.42,3.43
Delhi UT,East,2013,51,60,10,210,0,210,737,428,309,5,0,134,236,4252,2313,1939,7,34,240,4,11,177,11,364,133,246,0,134,3332,10388,1709346,27132,607.72,2.98
Delhi UT,North East,2013,69,87,9,183,0,183,923,513,410,5,0,223,143,3703,2094,1609,12,20,200,3,13,241,27,333,30,438,0,119,2260,9041,2241624,36155,403.32,3.08
Delhi UT,North,2013,29,25,2,53,0,53,266,151,115,2,0,87,165,1542,657,885,12,38,167,1,11,93,9,164,25,107,0,148,1135,4081,887978,14557,459.58,3.27
Delhi UT,North West,2013,47,56,3,143,0,143,597,343,254,10,0,194,331,2548,1182,1366,8,28,218,1,1,172,17,301,45,236,0,180,1428,6564,3656539,8254,179.51,1.29
Delhi UT,New Delhi,2013,7,6,2,19,0,19,74,35,39,0,0,14,19,473,127,346,19,18,71,38,1,21,1,66,25,17,0,55,512,1458,142004,4057,1026.73,4.93
Delhi UT,South,2013,23,35,8,163,0,163,539,328,211,0,1,68,429,3420,1590,1830,4,62,360,0,10,133,10,539,140,117,0,160,2372,8593,2731929,11060,314.54,0.84
Delhi UT,South West,2013,52,61,5,194,0,194,556,330,226,1,0,116,263,1077,623,454,9,28,295,0,7,127,14,419,128,403,0,204,2004,5963,2292958,5446,260.06,2.27
Delhi UT,West,2013,55,54,6,184,0,184,711,424,287,1,2,64,337,3135,1807,1328,20,34,287,1,15,235,22,400,94,529,0,234,2393,8813,2543243,19563,346.53,2.16
